"Theta [deg]","dB(GainTotal) [] - Freq='3GHz' Phi='0deg'"
0,-34.5532899051165
2,-21.2822283379374
4,-15.9930935993651
6,-12.7008961930745
8,-10.2983631287272
10,-8.39909658356846
12,-6.82363717965645
14,-5.47458778155327
16,-4.29370706588573
18,-3.24386205015109
20,-2.3003324283929
22,-1.44618518283586
24,-0.669622563690715
26,0.037626220207596
28,0.681317310261068
30,1.26533896258792
32,1.79211916432117
34,2.26286891083627
36,2.67771006007397
38,3.03572349377597
40,3.33494590402116
42,3.57233790214774
44,3.74374001958847
46,3.84382540226771
48,3.86604830447641
50,3.80257605755779
52,3.64417918062771
54,3.38003917349885
56,2.9974142574931
58,2.48107541124067
60,1.81238014368781
62,0.967775574820047
64,-0.0836038999039314
66,-1.38376129591625
68,-2.99168636304563
70,-4.99058271821756
72,-7.48478483415203
74,-10.4968300768353
76,-13.2834571331731
78,-13.425561552206
80,-11.2413716133531
82,-9.04871771434637
84,-7.41811406155973
86,-6.31425636732374
88,-5.65390403766965
90,-5.38393664470734
92,-5.48411015456343
94,-5.96403725866878
96,-6.86254172868224
98,-8.24260308681833
100,-10.1345116239939
102,-12.1785129970577
104,-12.6753338866569
106,-10.5149436629401
108,-7.61804260265368
110,-5.08490250909413
112,-3.02834492001648
114,-1.37219306055332
116,-0.0371054954567378
118,1.03714177559633
120,1.89464923567447
122,2.56830034807583
124,3.0834066873973
126,3.46010686206574
128,3.7148916179413
130,3.8615550871489
132,3.91177479341078
134,3.87545503538149
136,3.76092539478135
138,3.57505831703497
140,3.32334961816497
142,3.00998915878457
144,2.63793399681427
146,2.20898287902681
148,1.72383949643938
150,1.18214299803794
152,0.582437635515433
154,-0.0779521994945782
156,-0.803182600460677
158,-1.59934119253712
160,-2.47517155169063
162,-3.44321186772158
164,-4.52160818739661
166,-5.73711691703386
168,-7.13038710706046
170,-8.76604160389555
172,-10.7540964298277
174,-13.3027396903369
176,-16.8811841229254
178,-22.9722617231654
180,-37.538086931542
182,-22.3293331689605
184,-16.5494075437267
186,-13.0783138121692
188,-10.5842878131791
190,-8.63026766167881
192,-7.01896376530109
194,-5.64499486885614
196,-4.44594194167479
198,-3.38223366206571
200,-2.42760930818482
202,-1.56410444314371
204,-0.779199692073632
206,-0.064100598120956
208,0.587343244159744
210,1.17933052261965
212,1.7145478566288
214,2.19443558402373
216,2.61932976954865
218,2.98851603427699
220,3.30022321030302
222,3.55157979795897
224,3.73855099899249
226,3.85586702759614
228,3.89694366717379
230,3.85378357867776
232,3.71683192178749
234,3.47474222444025
236,3.11398644423657
238,2.61821238774385
240,1.9672035523915
242,1.13521756389901
244,0.0883565825125072
246,-1.21951224786678
248,-2.8525686336052
250,-4.89802463919702
252,-7.44750660480258
254,-10.4053265016244
256,-12.5775496512173
258,-11.8524013160148
260,-9.6002304676687
262,-7.59691205573399
264,-6.14992383977882
266,-5.20581961598731
268,-4.69433226671857
270,-4.57445671144381
272,-4.83589188612614
274,-5.49844009562148
276,-6.6146206326501
278,-8.26737280844601
280,-10.4962602889105
282,-12.7586154030818
284,-12.7524416859617
286,-10.0511564132723
288,-7.09295246341081
290,-4.65289317664293
292,-2.71071924558789
294,-1.15963738606605
296,0.0859254081205372
298,1.08676228249496
300,1.88616542723193
302,2.51586149173613
304,2.99990463841445
306,3.35712863658611
308,3.60267773070628
310,3.7489542345552
312,3.80619599017193
314,3.78282261767213
316,3.6856452728909
318,3.52000578112216
320,3.2898891379597
322,2.99803450314741
324,2.64605285402222
326,2.2345448343758
328,1.76320083519264
330,1.23085727556266
332,0.635477701879403
334,-0.0259772204492459
336,-0.757833720582834
338,-1.56620032501689
340,-2.45976264872106
342,-3.45102878764688
344,-4.55830747422693
346,-5.80898222954203
348,-7.24528863943303
350,-8.93542360584106
352,-10.9974694536218
354,-13.6596517608227
356,-17.4532444489643
358,-24.171483898957
360,-34.5532899051165
