"Freq [GHz]","dB(S(1,1)) [] - l='1mm'","dB(S(1,1)) [] - l='2mm'","dB(S(1,1)) [] - l='3mm'","dB(S(1,1)) [] - l='4mm'","dB(S(1,1)) [] - l='5mm'","dB(S(1,1)) [] - l='6mm'","dB(S(1,1)) [] - l='7mm'","dB(S(1,1)) [] - l='8mm'","dB(S(1,1)) [] - l='9mm'","dB(S(1,1)) [] - l='10mm'","dB(S(1,1)) [] - l='11mm'","dB(S(1,1)) [] - l='12mm'","dB(S(1,1)) [] - l='13mm'","dB(S(1,1)) [] - l='14mm'","dB(S(1,1)) [] - l='15mm'","dB(S(1,1)) [] - l='16mm'","dB(S(1,1)) [] - l='17mm'","dB(S(1,1)) [] - l='18mm'","dB(S(1,1)) [] - l='19mm'","dB(S(1,1)) [] - l='20mm'","dB(S(1,1)) [] - l='21mm'","dB(S(1,1)) [] - l='22mm'","dB(S(1,1)) [] - l='22.5mm'","dB(S(1,1)) [] - l='23mm'","dB(S(1,1)) [] - l='23.5mm'","dB(S(1,1)) [] - l='24mm'","dB(S(1,1)) [] - l='25mm'"
0.2,-0.0138722402675039,-0.013272995366377,-0.0126145070069041,-0.0120812219156473,-0.0115729374931088,-0.0109659126827878,-0.0102924613344999,-0.00992856531729566,-0.00940622682462731,-0.0091483572865149,-0.00836149252111589,-0.00814352138805706,-0.00757988009443852,-0.00712221156024103,-0.00676571559919664,-0.00642478760944602,-0.00606698261531533,-0.00571687823525699,-0.00533942296499394,-0.00509497108893829,-0.00479499889507885,-0.00451025116863886,-0.00433045012829771,-0.00420941758135,-0.00406656731430881,-0.00393392130848372,-0.00370102939234422
0.204,-0.0144810316192853,-0.0138543364147851,-0.013164881517994,-0.0126071324057973,-0.0120741406555473,-0.0114381694781606,-0.0107318603705396,-0.0103500453578255,-0.00980131561460912,-0.0095314372512861,-0.00869886651071605,-0.00846720357000015,-0.00785910402584416,-0.00745106314194911,-0.00706879488998219,-0.00669919779435632,-0.00630573426783255,-0.00591023296197576,-0.00547918198306733,-0.00520947195260685,-0.00488763926056388,-0.00459550595465927,-0.00441165277839872,-0.00429405091769206,-0.00415297353373575,-0.00402283373795567,-0.00379626522466966
0.208,-0.0151076808998517,-0.014452627311007,-0.0137312046434274,-0.0131481966249955,-0.0125897246302455,-0.0119239004037618,-0.0111837501876516,-0.010783459209266,-0.010207562712843,-0.00992530121547854,-0.0090457970907264,-0.00880007475762485,-0.00814648964943438,-0.00778865841644693,-0.00737999264571077,-0.00698109034690518,-0.00655128747279142,-0.00610980617685614,-0.00562505196390684,-0.00533024563825053,-0.00498661174554137,-0.00468657163119456,-0.00449822284092107,-0.00438353374906351,-0.00424382366826997,-0.00411581894215264,-0.00389510193295291
0.212,-0.0157525844051922,-0.0150682383612663,-0.0143138190882532,-0.0137047353061368,-0.013119990064594,-0.0124233825985948,-0.0116483846704483,-0.0112290464968827,-0.0106251900651302,-0.0103301615726867,-0.00940247402354187,-0.00914231778520427,-0.00844220850788567,-0.00813514382570082,-0.00769944703053548,-0.00727059773033928,-0.00680377383070042,-0.00631574151888472,-0.00577720649266327,-0.00545747660763479,-0.00509210135875385,-0.00478362104904392,-0.00459032486712603,-0.00447801680137677,-0.00433925475219371,-0.00421299938763266,-0.00399763704656913
0.216,-0.016416152069482,-0.0157015525012843,-0.0149130791234782,-0.0142770799125726,-0.0136652475728287,-0.0129369022855205,-0.0121260259345344,-0.0116870545412932,-0.0110544266651295,-0.0107462374134577,-0.00976909293397535,-0.00949412107975521,-0.00874643723712935,-0.00849067024842315,-0.00802730032352595,-0.00756785623754519,-0.00706332852256803,-0.00652818586399839,-0.00593582105880789,-0.00559134975014253,-0.00520429210054639,-0.00488682626069826,-0.00468812307356349,-0.00457765133218245,-0.00443940483427825,-0.00431449895313404,-0.00410396977517562
0.22,-0.0170988078974046,-0.0163529656901566,-0.0155293509399899,-0.0148655729611698,-0.0142258180310645,-0.0134647550344515,-0.0126169445600543,-0.0121577385728137,-0.0114955087464459,-0.0111737547052046,-0.010145855460717,-0.00985567880271005,-0.00905935768846119,-0.00885539310943965,-0.00836369901675404,-0.00787300607732849,-0.0073300903820044,-0.00674728937051736,-0.00610107305601615,-0.00573205037862365,-0.0053233669793244,-0.00499635852160117,-0.0047917813274909,-0.00468258910572366,-0.00454441295427413,-0.00442044291401646,-0.00421420101046791
0.224,-0.0178009904146917,-0.0170228873206759,-0.0161630130169807,-0.0154705683584887,-0.0148020328841639,-0.0140072460359535,-0.0131214198344361,-0.0126413619541584,-0.0119486799820569,-0.0116129464789895,-0.0105329694134369,-0.0102271909968909,-0.00938115705518457,-0.00922947249298032,-0.00870879391689065,-0.00818619146379589,-0.00760420197012341,-0.00697320552729194,-0.00627314178743319,-0.00587976423391522,-0.00544950803912117,-0.00511238830136117,-0.00490146314069568,-0.0047929823738357,-0.0046544191234793,-0.00453095792924557,-0.00432843332912209
0.228,-0.0185231531376616,-0.0177117406466645,-0.0168144565055542,-0.0160924317506485,-0.0153942344649768,-0.0145646903857181,-0.0136397400045793,-0.0131381964117446,-0.0124141916914021,-0.0120640530233974,-0.0109306489357946,-0.0106088637388886,-0.00971202800391382,-0.00961307326005757,-0.00906274025042925,-0.00850756070897824,-0.00788580965319995,-0.00720609120461112,-0.00645220847636966,-0.00603467749780689,-0.00558289639780484,-0.0052350853044959,-0.00501733167159603,-0.00490898386261154,-0.0047695643093733,-0.00464617203099697,-0.00444677099705049
0.232,-0.0192657650625374,-0.0184199632282185,-0.0174840856280952,-0.0167315408874129,-0.0160027763263832,-0.0151374133803441,-0.0141722025389759,-0.0136485222759391,-0.0128923030553902,-0.0125273220857323,-0.0113391146745089,-0.0110009092971289,-0.0100521688107251,-0.0100063651700632,-0.00942569777268665,-0.00883726631869461,-0.00817506368328618,-0.00744610670797823,-0.00663845628245907,-0.00619697681436806,-0.00572371229548101,-0.00536461850047072,-0.00513954973538424,-0.00503074676486933,-0.00488999042435106,-0.00476621461696836,-0.00456931997492341
0.236,-0.0200293111754503,-0.0191480073954873,-0.0181723180941046,-0.0173882860011264,-0.0166280235867666,-0.015725750824814,-0.0147191144000974,-0.014172628730659,-0.0133832813396338,-0.0130030090809165,-0.0117585939547422,-0.0114035462957669,-0.0104017835023199,-0.010409523006739,-0.00979783088066349,-0.00917546509189411,-0.00847211828183266,-0.00769341583483765,-0.00683207032335158,-0.0063668493194918,-0.00587213515275919,-0.00550115616258738,-0.00526827982201525,-0.00515842473833499,-0.00501584031863996,-0.00489121644539858,-0.00469618792509957
