"Theta [deg]","dB(GainTotal) [] - Freq='1GHz' Phi='0deg'"
0,-58.8685276626346
2,-28.5542516408099
4,-22.613776846041
6,-19.1136382004079
8,-16.6201359397339
10,-14.679276947396
12,-13.0880069271017
14,-11.737828751004
16,-10.5639757736834
18,-9.52473089652125
20,-8.59169343131103
22,-7.74469986809886
24,-6.96895925213816
26,-6.25333635931811
28,-5.58927110154502
30,-4.97007031226032
32,-4.39042752297316
34,-3.84608773023832
36,-3.33360741537671
38,-2.8501789303732
40,-2.39349946728122
42,-1.96167159205975
44,-1.55312656664843
46,-1.16656441493365
48,-0.800906488566697
50,-0.455257500074203
52,-0.128874821541571
54,0.178856573090238
56,0.468444732992801
58,0.740307837704806
60,0.994788485761499
62,1.23216570408364
64,1.45266509789665
66,1.65646747028646
68,1.84371617099971
70,2.0145233802629
72,2.16897549130122
74,2.30713772204836
76,2.42905806018758
78,2.53477062462268
80,2.62429850959925
82,2.69765616410348
84,2.75485134817135
86,2.79588669878843
88,2.82076093068993
90,2.82946969118312
92,2.82200608276008
94,2.79836086242725
96,2.75852232205551
98,2.70247584937343
100,2.63020316422397
102,2.54168121912707
104,2.43688074678806
106,2.31576442970881
108,2.17828465822294
110,2.02438083278182
112,1.85397615379636
114,1.66697382733058
116,1.4632525968444
118,1.24266148918972
120,1.00501363608083
122,0.750078998785873
124,0.477575781749126
126,0.187160267379924
128,-0.121585264671092
130,-0.449166960407543
132,-0.796196702214967
134,-1.16341301247869
136,-1.55170647139903
138,-1.96215086753499
140,-2.39604171371217
142,-2.85494434625343
144,-3.34075466578562
146,-3.85577680485754
148,-4.40282383303357
150,-4.98535038285835
152,-5.60763039054054
154,-6.27500002322196
156,-6.99419716850487
158,-7.77384807574845
160,-8.62518568935826
162,-9.56314697661599
164,-10.6081189296919
166,-11.7888573014786
168,-13.1476740201519
170,-14.7504082831479
172,-16.7077021671377
174,-19.2276098892475
176,-22.7790978580953
178,-28.8704219657583
180,-58.8325335448488
182,-28.6016755411429
184,-22.6469452309885
186,-19.1420442943289
188,-16.6462017508541
190,-14.7039642363507
192,-13.1117823706611
194,-11.7609433139252
196,-10.5865702393138
198,-9.54688301917776
200,-8.61344165935412
202,-7.76605642427142
204,-6.98991792168373
206,-6.27387746115899
208,-5.60936487947309
210,-4.98967940223509
212,-4.40950886056469
214,-3.86459410675074
216,-3.35148880441422
218,-2.86738365636031
220,-2.40997525756936
222,-1.97736653623455
224,-1.56798999580241
226,-1.18054770728449
228,-0.813963804247051
230,-0.467346446165288
232,-0.139957047785997
234,0.168814847449003
236,0.459472260468383
238,0.732427950736979
240,0.988018770282437
242,1.22651773682711
244,1.44814424590016
246,1.65307275139869
248,1.84144017480309
250,2.01335224960057
252,2.16888896547973
254,2.30810924367614
256,2.43105494839604
258,2.53775431799138
260,2.62822488235995
262,2.70247591903652
264,2.76051048895241
266,2.80232708334576
268,2.8279209053714
270,2.83728480322855
272,2.83040986578479
274,2.80728568644909
276,2.76790029617982
278,2.71223976176461
280,2.64028744064413
282,2.5520228783335
284,2.44742032868014
286,2.3264468705176
288,2.18906008643275
290,2.03520526000831
292,1.8648120366075
294,1.67779047900153
296,1.47402643222303
298,1.25337609107296
300,1.01565963754075
302,0.760653782448907
304,0.488083003774709
306,0.1976092204273
308,-0.111180429252716
310,-0.438788125962094
312,-0.785822766894749
314,-1.15302092524298
316,-1.5412722929089
318,-1.9516508268628
320,-2.38545323585635
322,-2.84424703179252
324,-3.32993121275945
326,-3.84481387440946
328,-4.3917128750739
330,-4.97408845720866
332,-5.59622104501213
334,-6.26345432731584
336,-6.98253505841622
338,-7.76210025978495
340,-8.61339652649502
342,-9.55137904642133
344,-10.5964606212544
346,-11.7774360569146
348,-13.1366809310845
350,-14.74014773984
352,-16.6987044120508
354,-19.2209336526294
356,-22.7774031622058
358,-28.884595263096
360,-58.8685276626343
