"Theta [deg]","normalize(GainTotal) [] - Freq='2GHz' Phi='0deg'"
0,2.73153144881185E-06
2,0.000135151792004227
4,0.000543026530353144
6,0.00120474938792843
8,0.00208630782160184
10,0.00314306704820099
12,0.00432221756617936
14,0.00556591193513398
16,0.00681511711372314
18,0.00801419970096715
20,0.00911624118217144
22,0.0100890475168372
24,0.0109217714887895
26,0.0116320072710546
28,0.0122731456351135
30,0.0129416972202562
32,0.0137842035998397
34,0.0150032663269037
36,0.0168621391575839
38,0.0196872564866619
40,0.0238680217808118
42,0.0298531652483327
44,0.0381430131475244
46,0.0492771053224736
48,0.0638167649076692
50,0.0823224735561884
52,0.10532624006829
54,0.133299564270253
56,0.166618074391407
58,0.205524424780962
60,0.250091537857754
62,0.300188704307427
64,0.355453356088097
66,0.415271434753518
68,0.478769138336666
70,0.544818406953681
72,0.612057790741497
74,0.678929357692866
76,0.743731103834449
78,0.804683018929365
80,0.860003659636564
82,0.907992926094756
84,0.947115863769477
86,0.976081838320508
88,0.993913440066207
90,1
92,0.994131617452229
94,0.976511028202603
96,0.947742347751736
98,0.908797537784436
100,0.860963179088724
102,0.805771613637554
104,0.744921595232704
106,0.680194164484204
108,0.613369503227368
110,0.546150052374678
112,0.480094278976764
114,0.416564278582898
116,0.356689046431435
118,0.301343896010282
120,0.251145279133709
122,0.206459268841342
124,0.167421265757822
126,0.133964098922708
128,0.105851595276891
130,0.0827148416747831
132,0.064088696348748
134,0.0494465544877699
136,0.0382318703021158
138,0.0298854316666835
140,0.0238678335265069
142,0.0196769780633491
144,0.0168607319736128
146,0.0150250934847479
148,0.0138383705425724
150,0.013031957570273
152,0.0123983334287998
154,0.0117868994796575
156,0.0110982444241453
158,0.010277370623696
160,0.00930635198648521
162,0.00819682192469482
164,0.00698261594600102
166,0.00571282092166376
168,0.0044454150961896
170,0.00324162200205159
172,0.00216104954541879
174,0.00125764391183313
176,0.000576457185662789
178,0.000151207558656543
180,2.60092375798041E-06
182,0.000137381122446347
184,0.000548081275984715
186,0.0012134582873352
188,0.00209960436475494
190,0.00316174084884278
192,0.00434670834451898
194,0.00559617095263365
196,0.00685054928785068
198,0.00805368528934759
200,0.00915822026695602
202,0.0101316352805148
204,0.0109628594081211
206,0.0116692968710499
208,0.0123040591855839
210,0.0129631151795063
212,0.0137919925481524
214,0.0149915835877101
216,0.016822530270344
218,0.0196075970401193
220,0.0237313925342603
222,0.029636784540167
224,0.0378173779715516
226,0.0488055062738847
228,0.0631553347223311
230,0.0814208995319467
232,0.104129214912163
234,0.131748969157877
236,0.164655788389509
238,0.20309554785901
240,0.247147717130169
242,0.296691184755378
244,0.351375357568398
246,0.410599501786493
248,0.473503223732058
250,0.538970627179382
252,0.605650007421044
254,0.671989959754846
256,0.736291544803222
258,0.796774760643385
260,0.851656155327239
262,0.899233130554223
264,0.937969500568489
266,0.966576324103353
268,0.984082024104152
270,0.989886391817199
272,0.983794208230703
274,0.966025803734659
276,0.937203751782724
278,0.898316850061916
280,0.850664367693346
282,0.79578503297714
284,0.735376253141865
286,0.671209510865874
288,0.605047760943352
290,0.538570013189739
292,0.47330724926077
294,0.410592531155648
296,0.351526778531622
298,0.29696036997737
300,0.247489580552447
302,0.203465985068759
304,0.165016371793812
306,0.132070423050928
308,0.104393394848899
310,0.0816212139349897
312,0.0632957448772276
314,0.0488983996429766
316,0.0378807129265348
318,0.0296909453080411
320,0.0237961736153452
322,0.0196996665416682
324,0.0169536168629848
326,0.0151675101319026
328,0.0140125587042504
330,0.013222726805113
332,0.0125929250587902
334,0.0119749691254249
336,0.0112718837208616
338,0.0104310965607947
340,0.0094370123653872
342,0.00830339035831003
344,0.00706587483077696
346,0.00577495218301456
348,0.00448953385968321
350,0.00327129661457466
352,0.00217985262844944
354,0.00126877427643134
356,0.000582462906922275
358,0.000153827977455858
360,2.73153144881211E-06
