grad,dB
0,-30.52484558
10,-26.13397372
20,-21.67200945
30,-16.74901289
40,-12.75361757
50,-10.97114253
60,-11.08866128
70,-11.06356828
80,-13.38647428
90,-19.6032052
100,-36.18271842
110,-20.58048049
120,-13.37243472
130,-13.20709361
140,-7.794970402
150,-9.969062435
160,-8.34250019
170,-6.741604999
180,-4.745381564
190,-6.741604999
200,-8.34250019
210,-9.969062435
220,-7.794970402
230,-13.20709361
240,-13.37243472
250,-20.58048049
260,-36.18271842
270,-19.6032052
280,-13.38647428
290,-11.06356828
300,-11.08866128
310,-10.97114253
320,-12.75361757
330,-16.74901289
340,-21.67200945
350,-26.13397372
360,-30.52484558
