grad,dB
0,-25
10,-2.836797877
20,-2.102833219
30,0.911626948
40,2.398033272
50,4.697162012
60,5.260568789
70,5.860793566
80,5.673829733
90,4.962306833
100,4.442523232
110,4.15865496
120,3.284455012
130,1.608978372
140,0.740623334
150,-0.684673521
160,-2.714327355
170,-9.042785409
180,-28.28481475
190,-9.042785409
200,-2.714327355
210,-0.684673521
220,0.740623334
230,1.608978372
240,3.284455012
250,4.15865496
260,4.442523232
270,4.962306833
280,5.673829733
290,5.860793566
300,5.260568789
310,4.697162012
320,2.398033272
330,0.911626948
340,-2.102833219
350,-2.836797877
360,-25
