"Frequency";"S11-S-Real";"S11-S-Imaginary";"S12-S-Real";"S12-S-Imaginary";"S21-S-Real";"S21-S-Imaginary";"S22-S-Real";"S22-S-Imaginary"
"1e+07";"0.7635846562928986";"-0.589601730586764";"0";"0";"0";"0";"0";"0"
"29950000";"-0.1867339983854162";"-1.0504132622541742";"0";"0";"0";"0";"0";"0"
"49900000";"-0.8560869404160413";"-0.1904676297512865";"0";"0";"0";"0";"0";"0"
"69850000";"-0.48332047210909007";"0.6380626730937051";"0";"0";"0";"0";"0";"0"
"89800000";"0.6555845435157958";"0.5901569958898492";"0";"0";"0";"0";"0";"0"
"109750000";"0.8676329292538497";"-0.33292038954634456";"0";"0";"0";"0";"0";"0"
"129700000";"-0.05297771140948203";"-0.8020805678530556";"0";"0";"0";"0";"0";"0"
"149650000";"-0.8309492999683423";"-0.373166788829113";"0";"0";"0";"0";"0";"0"
"169600000";"-0.6261979654317166";"0.7594335480136363";"0";"0";"0";"0";"0";"0"
"189550000";"0.3397778121410658";"1.0086993128219002";"0";"0";"0";"0";"0";"0"
"209500000";"0.9359117575966536";"-0.18946518972173942";"0";"0";"0";"0";"0";"0"
"229450000";"0.17530916586246748";"-0.9927309160655083";"0";"0";"0";"0";"0";"0"
"249400000";"-0.6214934734777151";"-0.4474125331919454";"0";"0";"0";"0";"0";"0"
"269350000";"-0.6803130935016132";"0.3778595126711881";"0";"0";"0";"0";"0";"0"
"289300000";"0.2633265294596446";"0.7227762717901385";"0";"0";"0";"0";"0";"0"
"309250000";"0.9347212706891777";"0.028679421971017097";"0";"0";"0";"0";"0";"0"
"329200000";"0.4065212063089389";"-0.7042918083489387";"0";"0";"0";"0";"0";"0"
"349150000";"-0.5853147144519212";"-0.5534215948480289";"0";"0";"0";"0";"0";"0"
"369100000";"-0.6854185482780237";"0.32809256489959343";"0";"0";"0";"0";"0";"0"
"389050000";"0.19742605353721626";"0.9794136079954746";"0";"0";"0";"0";"0";"0"
