"Theta [deg]","normalize(GainTotal) [] - Freq='1GHz' Phi='0deg'"
0,6.75178731649384E-07
2,0.000725849121602005
4,0.00285032141049489
6,0.0063812785082213
8,0.0113307309089177
10,0.0177151088397875
12,0.0255547023569733
14,0.0348729465846544
16,0.0456955535107883
18,0.0580494928703343
20,0.0719618262815783
22,0.0874584009964137
24,0.104562412399688
26,0.123292847736987
28,0.143662827425313
30,0.165677864635693
32,0.189334068526122
34,0.214616321409205
36,0.241496465090432
38,0.269931536408939
40,0.299862096424853
42,0.33121070147643
44,0.363880567212674
46,0.39775447842397
48,0.432693997781468
50,0.468539025210939
52,0.505107756357214
54,0.542197083278987
56,0.579583473054326
58,0.617024350360851
60,0.654259998404899
62,0.691015979005126
64,0.727006057499969
66,0.76193560187786
68,0.795505408671122
70,0.827415891357273
72,0.857371550999389
74,0.885085634399534
76,0.910284872907876
78,0.932714185954059
80,0.952141227982457
82,0.96836065627391
84,0.981198000434114
86,0.99051302221617
88,0.996202466678291
90,0.998202122072679
92,0.996488125707206
94,0.991077475510904
96,0.982027731211362
98,0.969435913848642
100,0.95343663673012
102,0.934199523834046
104,0.911925992154989
106,0.886845491757919
108,0.859211310764067
110,0.829296061735257
112,0.797386970778166
114,0.763781091191649
116,0.72878055985817
118,0.692688007228647
120,0.655802221193032
122,0.618414151984277
124,0.580803330203688
126,0.543234753774116
128,0.505956282805271
130,0.469196564635074
132,0.433163495273788
134,0.398043208626523
136,0.363999571616497
138,0.331174151988887
140,0.299686616353697
142,0.26963550903397
144,0.241099357533711
146,0.214138047849777
148,0.188794412267129
150,0.165095973477144
152,0.143056791575673
154,0.122679364431654
156,0.103956536754368
158,0.0868733786154055
160,0.071408999903503
162,0.0575382729376616
164,0.0452334410041075
166,0.0344655957262427
168,0.0252060107801778
170,0.0174273234345136
172,0.0111045586690063
174,0.00621599320081199
176,0.00274385864340513
178,0.000674884296802164
180,6.8079783375973E-07
182,0.000717966144296496
184,0.00282863555871214
186,0.00633967639645262
188,0.0112629289534283
190,0.017614693714554
192,0.0254151854261618
194,0.0346878344864799
196,0.0454584366306895
198,0.0577541528293378
200,0.0716023627921585
202,0.0870293775239495
204,0.104059019041266
206,0.122711078626967
208,0.142999668842278
210,0.164931488868129
212,0.188504027509268
214,0.213703733230583
216,0.240504185734257
218,0.26886430862458
220,0.29872666741014
222,0.33001590120224
224,0.362637339708261
226,0.396475859206681
228,0.431395031848565
230,0.467236621598343
232,0.503820477178323
234,0.540944867339557
236,0.578387296536822
238,0.615905829610881
240,0.65324094244923
242,0.690117901990287
244,0.726249663657895
246,0.761340257787121
248,0.795088619369598
250,0.827192798152146
252,0.857354469493204
254,0.885283651196268
256,0.910703518588879
258,0.933355200158229
260,0.953002429766634
262,0.969435929398898
264,0.982477398909552
266,0.991982996500445
268,0.997846205589114
270,1
272,0.998418239456619
274,0.993116250390017
276,0.984150572147211
278,0.971617874700649
280,0.95565307978484
282,0.936426741886257
284,0.91414176763119
286,0.889029570933085
288,0.86134577604413
290,0.831365590896942
292,0.799378978557313
294,0.765685755222314
296,0.730590739209292
298,0.694399067219158
300,0.657411782421819
302,0.619921784328735
304,0.58221021379006
306,0.544543328612112
308,0.507169907046489
310,0.470319198507946
312,0.434199423994993
314,0.39899681336154
316,0.364875153236194
318,0.331975808290432
320,0.30041816986834
322,0.270300479737159
324,0.24170097282123
326,0.214679281074179
328,0.189278040889699
330,0.165524648365971
332,0.143433110010962
334,0.123005940783664
336,0.10423606639379
338,0.0871086922318711
340,0.0716031069038807
342,0.0576943938654975
344,0.0453550298964885
346,0.0345563539728132
348,0.0252698943716042
350,0.0174685455111179
352,0.0111275890501203
354,0.00622555614881802
356,0.0027449295557777
358,0.000672685386885604
360,6.75178731649408E-07
