"Theta [deg]","normalize(GainTotal) [] - Freq='0.25GHz' Phi='0deg'"
0,5.75924251363192E-06
2,0.00103046727649479
4,0.0044115425220992
6,0.0101337253834011
8,0.018171395716878
10,0.0284886549055452
12,0.0410394389710333
14,0.0557676633148611
16,0.0726073998571923
18,0.0914830874892309
20,0.112309776868049
22,0.134993410654555
24,0.159431140321777
26,0.185511680637659
28,0.213115702851166
30,0.242116267480536
32,0.272379297417015
34,0.3037640918165
36,0.336123880956374
38,0.369306421887919
40,0.403154634319713
42,0.437507275728946
44,0.472199654221841
46,0.507064377158027
48,0.541932133024964
50,0.576632503506139
52,0.610994802140248
54,0.644848935428244
56,0.678026281721382
58,0.710360582727013
60,0.741688842010589
62,0.77185222446262
64,0.800696950348045
66,0.828075177272097
68,0.853845863189347
70,0.877875603458604
72,0.900039434911337
74,0.920221599959677
76,0.938316263924453
78,0.954228179014839
80,0.967873288738169
82,0.979179266958268
84,0.98808598634857
86,0.994545911595687
88,0.998524413391764
90,1
92,0.99896446397598
94,0.995422942465627
96,0.989393890365423
98,0.980908966508275
100,0.9700128339149
102,0.956762876011808
104,0.941228831548988
106,0.923492351740213
108,0.903646483883998
110,0.881795086392714
112,0.858052180751236
114,0.832541246436756
116,0.80539446525142
118,0.776751921844728
120,0.7467607674304
122,0.715574353831815
124,0.683351345022379
126,0.650254813265009
128,0.616451326803084
130,0.582110035819817
132,0.547401763071522
134,0.512498105221538
136,0.477570550465112
138,0.442789617551827
140,0.408324020791921
142,0.374339865087177
144,0.340999874466972
146,0.308462657046338
148,0.276882008765877
150,0.246406257732766
152,0.217177650466795
154,0.189331780873362
156,0.162997062323536
158,0.138294242825427
160,0.11533596292579
162,0.0942263556893639
164,0.075060687868038
166,0.0579250411934182
168,0.0428960326045
170,0.0300405721554681
172,0.0194156573347068
174,0.0110682025614453
176,0.00503490270675116
178,0.00134212960570929
180,5.86068179294711E-06
182,0.0010316389862962
184,0.00441456415847522
186,0.0101393140286115
188,0.0181801968092568
190,0.0285012340420367
192,0.0410562746812194
194,0.0557891408935732
196,0.0726338063299122
198,0.0915146077705983
200,0.112346491159074
202,0.135035293108786
204,0.159478058994904
206,0.185563398719043
208,0.213171881159823
210,0.242176468192383
212,0.272442988974946
214,0.30383065496031
216,0.336192615795928
218,0.369376555930484
220,0.40322533135113
222,0.437577645438651
224,0.47226876245357
226,0.507131256661672
228,0.541995794580388
230,0.57669194728695
232,0.611049029184555
234,0.644896959084193
236,0.678067138937791
238,0.710393345063543
240,0.741712626247512
242,0.771866202697194
244,0.800700359472609
246,0.828067327738109
248,0.85382614697145
250,0.87784350114329
252,0.899994521845635
254,0.920163551406418
256,0.938244859181786
258,0.954143304468797
260,0.967774939827927
262,0.979067549044323
264,0.987961114484266
266,0.994408209212305
268,0.998374309916702
270,0.999838027436448
272,0.998791252480925
274,0.995239214970998
276,0.989200456294769
278,0.980706714648584
280,0.969802724509978
282,0.956545932150145
284,0.941006129925174
286,0.923265012874726
288,0.903415661891591
290,0.88156195839453
292,0.85781793603024
294,0.832307075439862
296,0.805161548544873
298,0.776521419131645
300,0.746533806740832
302,0.715352020996186
304,0.683134673538511
306,0.650044774667161
308,0.616248821638371
310,0.581915885333026
312,0.547216701693674
314,0.512322773950538
316,0.477405491218568
318,0.442635268562558
320,0.408180713106055
322,0.374207820213001
324,0.340879203210144
326,0.308353359553699
328,0.276783975786284
330,0.246319273089043
332,0.217101394718551
334,0.189265836136006
336,0.162940918194695
338,0.13824730335628
340,0.115297554561778
342,0.0941957360924966
344,0.0750370555217623
346,0.057907545680951
348,0.0428837854426831
350,0.0300326580588282
352,0.0194111457785073
354,0.0110661595082167
356,0.00503440235815837
358,0.00134226604066515
360,5.75924251363169E-06
