"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
0.2,10.1405102257989,-1339.03397993354
0.204,10.0474362748074,-1311.82264906125
0.208,9.96255231909155,-1285.63923418949
0.212,9.88528773158088,-1260.42554197173
0.216,9.81512365297857,-1236.12768886597
0.22,9.75158740242722,-1212.69570932577
0.224,9.69424758103093,-1190.08320596946
0.228,9.64270977203191,-1168.2470365724
0.232,9.59661275588868,-1147.14703343831
0.236,9.55562517116003,-1126.74575130835
0.24,9.51944256220186,-1107.0082404786
0.244,9.4877847632897,-1087.90184223326
0.248,9.46039357627813,-1069.39600407429
0.252,9.43703070459988,-1051.46211254775
0.256,9.41747591196506,-1034.07334174249
0.26,9.40152537826504,-1017.20451577333
0.264,9.3889902288808,-1000.83198376558
0.268,9.37969521696507,-984.933506034902
0.272,9.37347754071356,-969.488150310025
0.276,9.37018578012611,-954.476196979558
0.28,9.36967893970835,-939.87905246047
0.284,9.37182558517354,-925.679169887575
0.288,9.37650306389007,-911.85997641225
0.292,9.3835967998187,-898.40580647666
0.296,9.39299965501245,-885.301840498249
0.3,9.4046113505926,-872.534048459553
0.304,9.41833794097947,-860.089137951533
0.308,9.4340913358414,-847.954506265591
0.312,9.45178886496388,-836.118196170909
0.316,9.47135288159659,-824.568855050592
0.32,9.49271040057041,-813.295697102714
0.324,9.51579276767478,-802.2884683414
0.328,9.54053535727466,-791.53741415894
0.332,9.56687729550385,-781.033249232916
0.336,9.59476120652666,-770.767129582952
0.34,9.62413297975818,-760.730626600056
0.344,9.65494155608867,-750.915702887978
0.348,9.68713873133967,-741.314689770817
0.352,9.72067897543776,-731.920266334301
0.356,9.75551926583249,-722.725439880151
0.36,9.79161893395167,-713.723527683589
0.364,9.82893952350909,-704.908139953761
0.368,9.86744465966539,-696.273163905547
0.372,9.90709992806299,-687.812748859103
0.376,9.94787276295002,-679.521292290589
0.38,9.98973234359366,-671.393426764013
0.384,10.0326494982846,-663.424007679914
0.388,10.0765966153386,-655.608101781962
0.392,10.1215475604886,-647.940976367311
0.396,10.1674776001804,-640.418089150953
0.4,10.2143633302712,-633.035078738288
0.404,10.2621826097169,-625.787755663753
0.408,10.3109144988716,-618.672093956653
0.412,10.360539202,-611.684223198374
0.416,10.4110380137169,-604.820421037883
0.42,10.4623932690416,-598.077106134974
0.424,10.5145882967755,-591.450831503
0.428,10.5676073759905,-584.938278224955
0.432,10.621435695372,-578.536249518701
0.436,10.6760593152006,-572.24166512892
0.44,10.7314651318153,-566.051556024987
0.444,10.7876408443408,-559.963059385472
0.448,10.8445749235487,-553.973413851358
0.452,10.9022565826752,-548.079955031308
0.456,10.9606757500825,-542.280111243525
0.46,11.0198230436297,-536.571399479773
0.464,11.0796897466234,-530.951421578172
0.468,11.1402677852513,-525.417860592257
0.472,11.2015497074195,-519.968477344661
0.476,11.263528662855,-514.601107154555
0.48,11.3261983844377,-509.313656728711
0.484,11.3895531706472,-504.104101206708
0.488,11.4535878690811,-498.970481351448
0.492,11.518297860958,-493.910900876689
0.496,11.5836790465469,-488.923523903878
0.5,11.6497278314811,-484.006572541027
0.504,11.7164411138772,-479.158324576841
0.508,11.7838162722371,-474.377111283773
0.512,11.851851154074,-469.661315323999
0.516,11.920544065215,-465.009368752773
0.52,11.9898937597533,-460.419751113877
0.524,12.0598994306127,-455.890987622272
0.528,12.1305607006794,-451.421647429294
0.532,12.201877614484,-447.010341966071
0.536,12.2738506303901,-442.655723361065
0.54,12.3464806132832,-438.35648292788
0.544,12.4197688277094,-434.111349719737
0.548,12.4937169314595,-429.919089147195
0.552,12.5683269695754,-425.778501655907
0.556,12.6436013687473,-421.688421461389
0.56,12.7195429320917,-417.647715337946
0.564,12.7961548342952,-413.655281459066
0.568,12.873440617098,-409.710048286747
0.572,12.9514041851173,-405.810973507342
0.576,13.0300498019755,-401.957043011683
0.58,13.1093820867426,-398.147269917327
0.584,13.1894060106637,-394.380693630902
0.588,13.2701268941735,-390.656378948657
0.592,13.3515504041723,-386.973415193386
0.596,13.4336825515733,-383.330915386038
0.6,13.5165296890897,-379.728015450367
0.604,13.6000985092765,-376.16387344911
0.608,13.6843960427977,-372.637668850232
0.612,13.769429656929,-369.148601821856
0.616,13.8552070542795,-365.695892554578
0.62,13.9417362717292,-362.278780609928
0.624,14.0290256795758,-358.896524293797
0.628,14.1170839808857,-355.548400053732
0.632,14.2059202110498,-352.233701899008
0.636,14.2955437375287,-348.951740842513
0.64,14.3859642597896,-345.701844363459
0.644,14.4771918094378,-342.483355890024
0.648,14.569236750524,-339.295634301068
